,avg_delay,min_delay,max_delay,total_packets,throughput,pdr,avg_ber,max_ber,min_ber,avg_snir,min_snir,max_snir,avg_cw,max_cw,min_cw,retrans_rate
Conf1,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.010106086994927266,1.0,0.0,9251.359367847692,0.245563,17289.4,28.093057607090103,63.0,15.0,0.008862629246676515
Conf10,0.0030200775089658117,3.711e-05,0.019617962991,234.0,47990.59485307554,100.0,0.010314076795881736,0.9918185764705882,0.0,9261.531695326063,1.40677,17289.4,28.195876288659793,63.0,15.0,0.011782032400589101
Conf11,0.0030200775089658117,3.711e-05,0.019617962991,234.0,47990.59485307554,100.0,0.010314076795881736,0.9918185764705882,0.0,9261.531695326063,1.40677,17289.4,28.195876288659793,63.0,15.0,0.011782032400589101
Conf12,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.010106086994927266,1.0,0.0,9251.359367847692,0.245563,17289.4,28.093057607090103,63.0,15.0,0.008862629246676515
Conf13,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.010106086994927266,1.0,0.0,9251.359367847692,0.245563,17289.4,28.093057607090103,63.0,15.0,0.008862629246676515
Conf14,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.010106086994927266,1.0,0.0,9251.359367847692,0.245563,17289.4,28.093057607090103,63.0,15.0,0.008862629246676515
Conf15,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.010106086994927266,1.0,0.0,9251.359367847692,0.245563,17289.4,28.093057607090103,63.0,15.0,0.008862629246676515
Conf16,0.0030125269877094014,3.711e-05,0.01826761121,234.0,47990.59485307554,100.0,0.011257490398574451,1.0,0.0,92.51081075035562,0.243795,172.894,28.24705882352941,63.0,15.0,0.013235294117647059
Conf17,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.010105578593140043,1.0,0.0,925132.9285367283,0.245581,1728940.0,28.093057607090103,63.0,15.0,0.008862629246676515
Conf18,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.010105573592695434,1.0,0.0,925132898.1741343,0.245581,1728940000.0,28.093057607090103,63.0,15.0,0.008862629246676515
Conf19,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.010105573592695434,1.0,0.0,9251328981437.441,0.245581,17289400000000.0,28.093057607090103,63.0,15.0,0.008862629246676515
Conf2,0.028823877590064953,0.002016718431,0.127616344034,1170.0,239692.67336842278,100.0,,,,,,,36.565565565565564,255.0,15.0,0.22422422422422422
Conf20,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.010105573592695434,1.0,0.0,9.25132898143741e+32,0.245581,1.7289399999999998e+33,28.093057607090103,63.0,15.0,0.008862629246676515
Conf3,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.010105701092270348,1.0,0.0,37005.33922533413,0.245577,69157.6,28.093057607090103,63.0,15.0,0.008862629246676515
Conf4,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.01010565931748595,1.0,0.0,55507.87917820943,0.245578,103736.0,28.093057607090103,63.0,15.0,0.008862629246676515
Conf5,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.01010564174720401,1.0,0.0,69385.10845026608,0.245579,129671.0,28.093057607090103,63.0,15.0,0.008862629246676515
Conf6,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.010106086994927266,1.0,0.0,9251.359367847692,0.245563,17289.4,28.093057607090103,63.0,15.0,0.008862629246676515
Conf7,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.010106086994927266,1.0,0.0,9251.359367847692,0.245563,17289.4,28.093057607090103,63.0,15.0,0.008862629246676515
Conf8,0.00295906224676923,3.711e-05,0.020095871109,234.0,47990.61945882741,100.0,0.010106086994927266,1.0,0.0,9251.359367847692,0.245563,17289.4,28.093057607090103,63.0,15.0,0.008862629246676515
Conf9,0.0030522337519230764,3.711e-05,0.020095871109,234.0,47990.570075813856,100.0,0.0101224154942095,0.9918185764705882,0.0,9248.382421479992,1.40677,17289.4,28.298091042584435,63.0,15.0,0.014684287812041116
